Common Name;Sibling;Equatorial Coordinates RA;Equatorial Coordinates DEC;Class;Visual Mag;Abs Mag;Prllx;Error;Dist (ly);Gliese;Other Names/Notes
Sun;;0 0;0 0;G2;-26.8;4.83;0;0;0;--;Sol
Alpha Centauri;C;14 29.7;-62 41;M5.5;11.01;15.45;772.33;2.42;4.22;Gl 551;Proxima Centauri
Alpha Centauri;A;14 39.7;-60 50;G2;-0.01;4.34;742.12;1.4;4.4;Gl 559 A;
Alpha Centauri;B;14 39.7;-60 50;K0;1.35;5.7;742.12;1.4;4.4;Gl 559 B;
Barnard's Star;;17 57.8;+04 42;M5;9.54;13.24;549.01;1.58;5.94;Gl 699;
Wolf 359;;10 56.5;+07 01;M6;13.45;16.56;418.3;2.5;7.8;Gl 406;
Lalande 21185;;11 03.3;+35 58;M2;7.49;10.46;392.4;0.91;8.31;Gl 411;
Sirius;A;06 45.1;-16 43;A1;-1.46;1.43;379.21;1.58;8.6;Gl 244 A;Alpha Canis Majoris
Sirius;B;06 45.1;-16 43;DA2;8.44;11.33;379.21;1.58;8.6;Gl 244 B;
L 726-8;A;01 39.0;-17 57;M5.5;12.41;15.27;373.7;2.7;8.73;Gl  65 A;
L 726-8;B;01 39.0;-17 57;M5.5;13.25;16.11;373.7;2.7;8.73;Gl  65 B;
Ross 154;;18 49.8;-23 50;M4.5;10.37;13;336.48;1.82;9.69;Gl 729;
Ross 248;;23 41.9;+44 11;M6;12.29;14.79;315.6;1.6;10.33;Gl 905;
Epsilon Eridani;;03 32.9;-09 28;K2;3.72;6.18;310.75;0.85;10.5;Gl 144;Has a planet
Lacaille 9352;;23 05.9;-35 51;M2;7.35;9.76;303.9;0.87;10.73;Gl 887;
Ross 128;;11 47.7;+00 48;M4.5;11.12;13.5;299.58;2.2;10.89;Gl 447;
L 789-6;A;22 38.6;-15 18;M5.5;13.3;15.6;294.3;3.5;11.08;Gl 866 A;
L 789-6;B;22 38.6;-15 18;M5;13.3;15.6;294.3;3.5;11.08;Gl 866 B;
L 789-6;C;22 38.6;-15 18;M7;14;16.3;294.3;3.5;11.08;Gl 866 C;
Procyon;A;07 39.3;+05 14;F5;0.36;2.64;285.93;0.88;11.41;Gl 280 A;Alpha Canis Minoris
Procyon;B;07 39.3;+05 14;DA;10.7;13;285.93;0.88;11.41;Gl 280 B;
61 Cygni;A;21 06.9;+38 45;K5;5.2;7.49;285.74;0.65;11.41;Gl 820 A;
61 Cygni;B;21 06.9;+38 45;K7;6.05;8.33;285.74;0.65;11.41;Gl 820 B;
Struve 2398;A;18 42.8;+59 38;M4;8.94;11.18;281.15;2.29;11.6;Gl 725 A;
Struve 2398;B;18 42.8;+59 38;M5;9.7;11.97;281.15;2.29;11.6;Gl 725 B;
Groombridge 34;A;00 18.4;+44 01;M2;8.09;10.33;280.27;1.05;11.64;Gl  15 A;
Groombridge 34;B;00 18.4;+44 01;M6;11.06;13.3;280.27;1.05;11.64;Gl  15 B;
G51-15;;08 29.8;+26 47;M6.5;14.81;17.01;275.8;3;11.83;GJ 1111;
Epsilon Indi;A;22 03.4;-56 47;K4;4.69;6.89;275.76;0.69;11.83;Gl 845 A;
Epsilon Indi;B;22 04.2;-56 47;T1;0;0;275.76;0.69;11.83;Gl 845 B;Brown Dwarf
Epsilon Indi;C;22 04.2;-56 47;T6;0;0;275.76;0.69;11.83;Gl 845 C;Brown Dwarf
Tau Ceti;;01 44.1;-15 56;G8;3.49;5.68;274.17;0.8;11.9;Gl  71;
L 372-58;;03 36.0;-44 31;M5.5;13.01;15.17;270.4;5.2;12.06;GJ 1061;LHS 1565
L 725-32;;01 12.5;-17 00;M5;12.1;14.25;269.05;7.57;12.12;Gl  54.1;
Luyten's Star;;07 27.4;+05 14;M3.5;9.84;11.94;263.26;1.43;12.39;Gl 273;
SO 0253+1652;;02 53.0;+16 53;M6.5;15.4;17.5;259;4;12.59;--;SO025300.5+165258
Kapteyn's Star;;05 11.7;-45 01;M1;8.86;10.89;255.26;0.86;12.78;Gl 191;
SCR 1845-6357;A;18 45.0;-63 58;M8.5;17.39;19.41;253.94;2.49;12.84;--;
SCR 1845-6357;B;18 45.0;-63 58;T5.5;0;0;253.94;2.49;12.84;--;Brown Dwarf
Lacaille 8760;;21 17.3;-38 52;M0;6.69;8.71;253.37;1.13;12.87;Gl 825;
Kruger 60;A;22 28.0;+57 42;M3;9.85;11.85;249.52;3.03;13.07;Gl 860 A;
Kruger 60;B;22 28.0;+57 42;M6;11.3;13.3;249.52;3.03;13.07;Gl 860 B;
DENIS 1048-39;;10 48.2;-39 56;M9;17.39;19.36;247.71;1.55;13.17;--;
Ross 614;A;06 29.4;-02 49;M4.5;11.12;13.05;242.89;2.64;13.43;Gl 234 A;
Ross 614;B;06 29.4;-02 49;M7;14.6;16.5;242.89;2.64;13.43;Gl 234 B;
Wolf 1061;;16 30.3;-12 40;M3.5;10.1;11.95;234.51;1.82;13.91;Gl 628;
Wolf 424;A;12 33.3;+09 01;M5.5;13.04;14.87;232.2;4.3;14.05;Gl 473 A;
Wolf 424;B;12 33.3;+09 01;M7;13.3;15.1;232.2;4.3;14.05;Gl 473 B;
CD-37 15492;;00 05.4;-37 21;M4;8.56;10.36;229.33;1.08;14.22;Gl   1;
van Maanen's Star;;00 49.2;+05 23;DZ7;12.37;14.15;226.95;5.35;14.37;Gl  35;Wolf 28
L 1159-16;;02 00.2;+13 03;M8;12.28;14.03;223.8;2.9;14.57;Gl  83.1;
L 143-23;;10 44.5;-61 12;M5.5;13.92;15.66;222.8;13.6;14.6;GJ 3618;LHS 288
LP 731-58;;10 48.2;-11 20;M6.5;15.6;17.32;221;3.6;14.76;GJ 3622;LHS 292
BD+68 946;;17 36.4;+68 20;M3.5;9.15;10.87;220.85;0.92;14.77;Gl 687;
CD-46 11540;;17 28.7;-46 54;M3;9.38;11.1;220.43;1.63;14.8;Gl 674;
L 145-141;;11 45.7;-64 50;DQ6;11.5;13.18;216.4;2.11;15.07;Gl 440;
G158-27;;00 06.7;-07 32;M5.5;13.75;15.39;212.8;3.3;15.33;GJ 1002;
Ross 780;;22 53.3;-14 16;M5;10.16;11.8;212.69;2.1;15.34;Gl 876;Has three planets
G208-44;A;19 53.9;+44 25;M5.5;13.41;15.04;212;4.3;15.39;GJ 1245 A;
G208-44;B;19 53.9;+44 25;M6;14.01;15.64;212;4.3;15.39;GJ 1245 B;
G208-44;C;19 53.9;+44 25;M8;16.66;18.29;212;4.3;15.39;GJ 1245 C;
Lalande 21258;A;11 05.5;+43 32;M2;8.82;10.4;206.94;1.19;15.76;Gl 412 A;
Lalande 21258;B;11 05.5;+43 31;M6;14.4;15.78;206.94;1.19;15.76;Gl 412 B;
Groombridge 1618;;10 11.4;+49 27;K7;6.6;8.16;205.22;0.81;15.89;Gl 380;
DENIS 0255-47;;02 55.1;-47 01;L8;0;0;204;13;16;--;Brown Dwarf
BD+20 2465;;10 19.6;+19 52;M4.5;9.4;10.95;203.9;2.8;16;Gl 388;
L 354-89;;21 33.6;-49 01;M1;8.66;10.19;202.53;1.33;16.1;Gl 832;
LP 944-20;;03 39.6;-35 26;M9;18.5;20;201.4;4.3;16.19;--;Brown Dwarf
CD-44 11909;;17 37.1;-44 19;M3.5;10.94;12.43;198.32;2.43;16.45;Gl 682;
Omicron? Eridani;A;04 15.3;-07 39;K1;4.43;5.92;198.24;0.84;16.45;Gl 166 A;40 Eridani
Omicron? Eridani;B;04 15.4;-07 40;DA4;9.52;11.01;198.24;0.84;16.45;Gl 166 B;
Omicron? Eridani;C;04 15.4;-07 40;M4.5;11.17;12.66;198.24;0.84;16.45;Gl 166 C;
BD+43 4305;;22 46.8;+44 20;M4.5;10.29;11.77;198.07;2.05;16.47;Gl 873;
70 Ophiuchi;A;18 05.5;+02 30;K0;4.03;5.5;196.62;1.38;16.59;Gl 702 A;
70 Ophiuchi;B;18 05.5;+02 30;K5;6;7.47;196.62;1.38;16.59;Gl 702 B;
Altair;;19 50.8;+08 52;A7;0.77;2.21;194.44;0.94;16.77;Gl 768;Alpha Aquilae
G9-38;A;08 58.2;+19 46;M5.5;14.06;15.47;191.3;2.5;17.05;GJ 1116 A;LHS 2076
G9-38;B;08 58.2;+19 46;M5.5;14.92;16.33;191.3;2.5;17.05;GJ 1116 B;LHS 2077
L 722-22;A;00 15.5;-16 08;M4;12.03;13.41;188.7;8.4;17.3;GJ 1005 A;
L 722-22;B;00 15.5;-16 08;M6;14.3;15.7;188.7;8.4;17.3;GJ 1005 B;
G99-49;;06 00.1;+02 42;M4;11.33;12.68;186.3;6.2;17.51;GJ 3379;LTT 17897
G254-29;;11 47.7;+78 41;M4;10.8;12.14;185.48;1.43;17.59;Gl 445;
Lalande 25372;;13 45.7;+14 53;M4;8.46;9.79;184.13;1.27;17.71;Gl 526;Wolf 498
LP 656-38;;05 02.0;-06 57;M3.5;12.15;13.46;182.7;3.3;17.85;GJ 3323;LHS 1723
LP 816-60;;20 52.7;-16 58;M5;11.41;12.71;182.15;3.68;17.91;--;
Stein 2051;A;04 31.2;+58 59;M4;11.08;12.37;181.36;3.67;17.98;Gl 169.1 A;
Stein 2051;B;04 31.2;+58 59;DC5;12.44;13.73;181.36;3.67;17.98;Gl 169.1 B;
Wolf 294;;06 54.8;+33 16;M4;9.89;11.18;181.32;1.87;17.99;Gl 251;
2MASS 1835+32;;18 35.6;+33 00;M8.5;18.27;19.5;176.5;0.5;18.48;--;
Wolf 1453;;05 31.5;-03 41;M1.5;7.97;9.19;175.72;1.2;18.56;Gl 205;
2MASS 0415-09;;04 15.3;-09 35;T8.5;0;0;174.34;2.76;18.71;--;Brown Dwarf
Sigma Draconis;;19 32.4;+69 40;K0;4.67;5.87;173.41;0.46;18.81;Gl 764;
L 668-21;A;06 10.6;-21 52;M1;8.15;9.34;173.19;1.12;18.83;Gl 229 A;
L 668-21;B;06 10.6;-21 52;T6;0;0;173.19;1.12;18.83;Gl 229 B;Brown Dwarf
Ross 47;;05 42.2;+12 29;M4;11.56;12.75;172.78;3.88;18.88;Gl 213;
L 205-128;;17 46.6;-57 19;M3.5;10.75;11.93;172.08;2.22;18.95;Gl 693;
Wolf 1055;A;19 16.9;+05 10;M3.5;9.12;10.28;170.26;1.37;19.16;Gl 752 A;Ross 652
Wolf 1055;B;19 17.0;+05 09;M8;17.52;18.68;170.26;1.37;19.16;Gl 752 B;VB 10
L 674-15;;08 12.7;-21 33;M4;12.1;13.3;170;10.2;19.2;Gl 300;
Lalande 27173;A;14 57.5;-21 25;K5;5.75;6.89;169.32;1.67;19.26;Gl 570 A;HR 5568
Lalande 27173;B;14 57.5;-21 25;M1;8.07;9.21;169.32;1.67;19.26;Gl 570 B;
Lalande 27173;C;14 57.5;-21 25;M3;10.5;11.6;169.32;1.67;19.26;Gl 570 C;
Lalande 27173;D;14 57.3;-21 22;T8;0;0;169.32;1.67;19.26;Gl 570 D;Brown Dwarf
L 347-14;;19 20.8;-45 33;M4.5;12.23;13.37;169.03;1.55;19.3;Gl 754;
Ross 882;;07 44.7;+03 33;M4.5;11.19;12.32;168.59;2.67;19.35;Gl 285;
CD-40 9712;;15 32.2;-41 17;M3;9.31;10.44;168.52;1.42;19.35;Gl 588;
Eta Cassiopeiae;A;00 49.1;+57 49;G0;3.46;4.59;167.99;0.62;19.42;Gl  34 A;Wolf 24
Eta Cassiopeiae;B;00 49.1;+57 49;K7;7.51;8.64;167.99;0.62;19.42;Gl  34 B;
Lalande 46650;;23 49.2;+02 24;M2;8.98;10.1;167.51;1.49;19.47;Gl 908;
36 Ophiuchi;A;17 15.4;-26 36;K1;5.07;6.18;167.08;1.07;19.52;Gl 663 A;
36 Ophiuchi;B;17 15.4;-26 36;K1;5.11;6.23;167.08;1.07;19.52;Gl 663 B;
36 Ophiuchi;C;17 16.2;-26 33;K5;6.33;7.45;167.56;1.06;19.47;Gl 664;
CD-36 13940;A;20 11.2;-36 06;K3;5.32;6.41;165.24;0.9;19.74;Gl 783 A;HR 7703
CD-36 13940;B;20 11.2;-36 06;M3.5;11.5;12.6;165.24;0.9;19.74;Gl 783 B;
82 Eridani;;03 19.9;-43 04;G5;4.26;5.35;165.02;0.55;19.77;Gl 139;e Eridani
Delta Pavonis;;20 08.7;-66 11;G5;3.55;4.62;163.73;0.65;19.92;Gl 780;
Wolf 1481;;14 34.3;-12 31;M3;11.32;12.39;163.51;2.77;19.95;Gl 555;
